number_of_features,min_error,max_error,avg_error
1,0.25712447821933165,0.25712447821933165,0.2571244782193317
2,0.09754496447066958,0.09754496447066958,0.0975449644706696
3,0.043274685773930927,0.043274685773930927,0.04327468577393092
4,0.018501688577998953,0.018501688577998953,0.01850168857799895
5,0.007790031048535402,0.007790031048535402,0.0077900310485354025
6,0.0036771371790677654,0.0036771371790677654,0.0036771371790677654
7,0.000663314552224087,0.000663314552224087,0.0006633145522240869
8,0.0002659712453194879,0.0004030182444394262,0.0002796759452314818
9,9.463050136472389e-05,0.0002287405522666649,0.00010874014920181302
10,3.2414699660032376e-05,7.670949733187863e-05,4.816974128130843e-05
11,1.6060188221672594e-05,6.094470367296894e-05,2.8926266171542815e-05
12,6.027446646989955e-06,1.651312310658105e-05,1.1963385775754078e-05
13,2.377378407747768e-06,9.975230388212953e-06,6.222869915305613e-06
14,1.1027031007817007e-06,6.225681089745734e-06,2.4139065939993294e-06
15,4.038057460288224e-08,2.329751025490087e-06,6.945521810507652e-07
16,2.7005916371270787e-08,1.1452818178649029e-06,4.6419346644143186e-07
17,1.6501058711821497e-08,3.722816305426973e-08,2.2707495447060107e-08
18,1.2890262007368261e-08,1.048956335862148e-06,1.196607014566595e-07
19,7.626154280275898e-09,2.751039165612875e-08,1.4653070129245108e-08
20,5.91032199784119e-10,1.1101163667760275e-08,6.343022050093594e-09
21,5.91032199784119e-10,6.409326743624449e-09,2.2644247058173186e-09
22,1.99403504986271e-20,2.3659629773590754e-09,1.482933745494387e-09
23,1.99403504986271e-20,5.91032199784119e-10,1.1820643997277613e-10
24,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
25,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
26,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
27,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
28,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
29,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
30,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
