number_of_features,min_error,max_error,avg_error
1,0.011813886698870594,0.011813886698870594,0.011813886698870594
2,0.0033288724293837465,0.0033288724293837465,0.0033288724293837465
3,0.002183144915780891,0.002183144915780891,0.0021831449157808905
4,0.0015191403997631262,0.0015191403997631262,0.001519140399763126
5,0.0005286542611848264,0.0005286542611848264,0.0005286542611848264
6,0.0003449368235082431,0.0003449368235082431,0.0003449368235082431
7,0.00024281019409828992,0.00024703365732639673,0.000246611311003586
8,0.00018416982023015038,0.0001843000947862748,0.00018419587514137528
9,0.00010054902940282661,0.00010067082894334793,0.00010056120935687876
10,3.565675313291061e-05,8.698642775004731e-05,4.0846068244750307e-05
11,1.5385372147926834e-05,2.710538375987766e-05,1.7729374470317e-05
12,9.699272098436916e-06,1.0984357353046218e-05,9.946317716915906e-06
13,5.086110113982163e-06,8.101618466040284e-06,5.8335761282274836e-06
14,2.7223005275399035e-06,5.577020735497802e-06,3.73185989161041e-06
15,8.384727565202722e-07,5.0581641380571165e-06,2.546298861713877e-06
16,5.155867740509122e-07,1.5460525031891372e-06,7.952929802346751e-07
17,7.214705722190872e-08,6.778323521603343e-07,4.0578507271900085e-07
18,3.008120346638116e-10,5.155867740509122e-07,2.0909473586260477e-07
19,9.435473991276468e-11,7.071011792557453e-08,2.767546421943844e-08
20,4.170330986079913e-18,3.007779177574997e-10,1.0075588521148794e-10
21,1.3786943288452742e-20,9.432961313996099e-11,9.432964235985183e-12
22,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
23,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
24,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
25,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
26,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
