number_of_features,min_error,max_error,avg_error
1,0.25712447821933165,0.25777669026353045,0.2576462478546907
2,0.09754496447066958,0.09754496447066958,0.0975449644706696
3,0.0431939462072678,0.043274685773930927,0.04324238994726567
4,0.018501688577998953,0.0266292281509172,0.019314442535290775
5,0.007790031048535402,0.01058666004959307,0.008913561791842972
6,0.003192803352242402,0.0036771371790677654,0.0032896859103485007
7,0.000663314552224087,0.002969141285019245,0.0010545669680738455
8,0.0002659712453194879,0.0006618925945379296,0.00033375794964163297
9,9.463050136472389e-05,0.0006618925945379296,0.00027969499825620137
10,7.236702150588848e-05,0.00040993134241708594,0.0002138773277944609
11,7.236702150588848e-05,0.00036828093672011447,0.00019642055856403914
12,3.233320988379373e-05,0.00036796337261268296,0.00017288190601203365
13,1.707771077214811e-05,0.00036727011489881464,0.00016156498083028884
14,1.701905165275812e-05,0.00036727011489881464,0.00015777200176315687
15,1.691883620159693e-05,0.0003665930734389458,0.00015664864591867508
16,1.641448558399496e-05,0.0003665930734389458,0.00014687930757972245
17,2.5565214845291347e-06,0.00036592051829966924,0.0001329787158828685
18,6.531247463708399e-06,0.0003362513917811651,0.00011651706772885797
19,6.365056447125685e-06,0.0003362513917811651,0.00011631495285643987
20,1.0715148790720242e-06,0.0002711166056778489,8.503514668279567e-05
21,1.0057631988441493e-06,0.00033596535523156484,9.440922740013862e-05
22,2.2604482253967328e-06,0.0002457809852262588,9.524465878709638e-05
23,2.201086303331666e-06,0.0002036809559256707,3.791435478913923e-05
24,9.894658200929637e-07,0.0002457809852262588,6.715554568986713e-05
25,4.02062039745057e-09,0.00020315015325932567,3.0223498631691802e-05
26,5.91032199784119e-10,5.549967139569308e-05,1.5362456765371657e-05
27,6.409326743624449e-09,0.0002029037621460475,2.6464991798689958e-05
28,1.99403504986271e-20,2.648579786953284e-06,8.596986478928783e-07
29,1.99403504986271e-20,2.076984092156091e-06,3.027246208104745e-07
30,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
