number_of_features,min_error,max_error,avg_error
1,0.011813886698870594,0.011813886698870594,0.011813886698870594
2,0.0033288724293837465,0.0033288724293837465,0.0033288724293837465
3,0.0019596797875874477,0.002183144915780891,0.0021360176860430757
4,0.0010356259630160299,0.0015191403997631262,0.00108836485247259
5,0.0005286542611848264,0.0005286542611848264,0.0005286542611848264
6,0.0003401806494834744,0.00042082563529918554,0.00034967200027247614
7,0.00024066709112713168,0.00024703365732639673,0.00024404880711912253
8,0.00015300476722365875,0.0001843000947862748,0.0001691688968166858
9,9.935948882241218e-05,0.00014856263996180876,0.0001054863201829871
10,3.565675313291061e-05,9.412808303402579e-05,7.003964267349223e-05
11,1.5385372147926834e-05,9.144519698535666e-05,3.9404690886633904e-05
12,9.699272098436916e-06,7.910730744781337e-05,2.5462783334154145e-05
13,5.224883516023493e-06,6.866700799013186e-05,1.7115561727847954e-05
14,2.8310275009519756e-06,4.576284528614858e-05,1.3487329048360275e-05
15,2.887869502711041e-06,4.517646215416145e-05,1.2125789508325461e-05
16,4.244091242202801e-06,6.818895652566958e-05,1.3972216646044663e-05
17,1.5343631091561279e-06,9.670522589596089e-06,5.665500594022162e-06
18,7.165899201587348e-07,9.457583400920732e-06,3.832894096527739e-06
19,7.214682405657505e-08,9.457583400920732e-06,3.2151622262753727e-06
20,9.435473991276468e-11,3.692598618870013e-05,7.661412016475086e-06
21,4.170330986079913e-18,5.649634649985117e-06,2.666317662996601e-06
22,6.792001759282244e-08,3.797600926074594e-05,5.050934062085738e-06
23,4.170330986079913e-18,2.606075349157224e-06,7.667960572664086e-07
24,1.3786943288452742e-20,2.067825257088855e-06,6.22608191804495e-07
25,1.3786943288452742e-20,4.0128176872799767e-07,9.385448139268295e-08
26,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
