number_of_features,min_error,max_error,avg_error
0,1.0,1.0,1.0
1,0.25712447821933165,0.36302841719816126,0.3206339099864051
2,0.09754496447066958,0.19596671488970363,0.13191633123411028
3,0.0431939462072678,0.066005713580067,0.05453542693702581
4,0.018501688577998953,0.018501688577998953,0.01850168857799895
5,0.007790031048535402,0.01058666004959307,0.008354235991631436
6,0.003192803352242402,0.0036771371790677654,0.003483414176831637
7,0.000663314552224087,0.000663314552224087,0.0006633145522240869
8,0.0002659712453194879,0.0002659712453194879,0.00026597124531948797
9,9.463050136472389e-05,0.00010161692883367426,0.00010021964333988418
10,3.2414699660032376e-05,7.778222813510893e-05,4.520884687478508e-05
11,1.6060188221672594e-05,5.747349688055834e-05,2.070847842297647e-05
12,6.027446646989955e-06,4.4387514501085426e-05,1.0572625960531887e-05
13,1.1452818178649029e-06,2.9486878527022926e-06,2.136075807079133e-06
14,5.727801231650618e-08,2.920386711929938e-06,5.524476992557351e-07
15,3.722816305426973e-08,2.870351329684468e-06,3.245457153100454e-07
16,2.358484810355988e-08,3.778265003341096e-08,2.924693315714846e-08
17,1.3454384580009266e-08,2.527204960418054e-08,1.9173455086597047e-08
18,7.041803559078737e-09,1.7742196274142174e-08,1.1304817763935856e-08
19,4.228304112557116e-09,9.44859875190223e-09,5.645800092118956e-09
20,5.91032199784119e-10,3.4181870390809513e-09,1.6899134317656379e-09
21,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
