number_of_features,min_error,max_error,avg_error
0,1.0,1.0,1.0
1,0.25712447821933165,0.3620468889517188,0.2679428253146698
2,0.09754496447066958,0.13289784889806994,0.12555469693679439
3,0.0431939462072678,0.066005713580067,0.04776443653739025
4,0.018501688577998953,0.018501688577998953,0.01850168857799895
5,0.007790031048535402,0.0078062948581504085,0.007791657429496902
6,0.003192803352242402,0.0036771371790677654,0.00348340364833762
7,0.000663314552224087,0.000663314552224087,0.0006633145522240869
8,0.0002659712453194879,0.00041086994020255775,0.00028046111480779497
9,9.463050136472389e-05,0.00023158905411243508,0.00011251821312086522
10,3.2414699660032376e-05,0.00020541552795619823,6.311049487152586e-05
11,1.6060188221672594e-05,0.0002046893787186691,3.9545437296248734e-05
12,6.027446646989955e-06,0.00019216445697805033,3.018206899582912e-05
13,1.1452818178649029e-06,4.716978811402462e-05,9.878275592074714e-06
14,5.727801231650618e-08,3.72650001628244e-05,7.635018015688146e-06
15,4.038057460288224e-08,3.715306497895801e-05,6.3248451958665195e-06
16,2.9168579539393525e-08,5.751630778320737e-06,1.443188783967238e-06
17,1.7440305070819367e-08,5.661178626503982e-06,1.4085432357688111e-06
18,7.041803559078737e-09,2.3471332644290716e-06,4.4053492241180265e-07
19,4.02062039745057e-09,9.873283970622511e-09,5.88703126446782e-09
20,5.91032199784119e-10,4.750807865290811e-09,2.455196967565638e-09
21,1.99403504986271e-20,1.99403504986271e-20,1.99403504986271e-20
