number_of_features,min_error,max_error,avg_error
1,0.011813886698870594,0.011813886698870594,0.011813886698870594
2,0.009016885786702365,0.009016885786702365,0.009016885786702367
3,0.0019596797875874477,0.0019596797875874477,0.001959679787587448
4,0.0017440825400036667,0.0019277941503340953,0.0017624537010367096
5,0.0008771289850801013,0.0017211518924381128,0.0012160459653223505
6,0.00040845645933232616,0.0008639300895711715,0.0007259976629267574
7,0.00024066709112713168,0.0005624954631389298,0.00041349595866215427
8,0.00023038280405010263,0.00023038280405010263,0.0002303828040501026
9,0.00015375953289815947,0.00021934262607202292,0.00016687615153293216
10,7.57908739482448e-05,0.0001495045837288534,0.0001378520295372792
11,2.994428469888183e-05,0.00013139997578905417,8.418859184269099e-05
12,2.4842657467339835e-05,0.00012821816357730495,4.9986736396202465e-05
13,7.000188902672956e-06,5.702473885492687e-05,3.1212752140189214e-05
14,2.7223005275399035e-06,4.947524271077108e-05,1.5908480352939497e-05
15,8.384727565202722e-07,1.2138988810964232e-05,3.60232291375611e-06
16,5.155867740509122e-07,6.778323521603343e-07,5.318113318618544e-07
17,7.214705722190872e-08,5.15586217433402e-07,3.716944524804949e-07
18,3.008120346638116e-10,5.119668943897819e-07,2.8860185121045155e-07
19,9.435473991276468e-11,5.119668943897819e-07,1.53127696403331e-07
20,4.170330986079913e-18,5.119668943897819e-07,9.859300297115305e-08
21,4.170330986079913e-18,5.119668943897819e-07,5.8056471008266805e-08
22,1.3786943288452742e-20,4.048213919542341e-07,4.05404652450628e-08
23,1.3786943288452742e-20,4.048213919542341e-07,4.05404652442315e-08
24,1.3786943288452742e-20,4.0128176872799767e-07,4.0158254665002195e-08
25,1.3786943288452742e-20,9.432961313996099e-11,9.432961742058752e-12
26,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
