number_of_features,min_error,max_error,avg_error
0,1.0,1.0,1.0
1,0.011813886698870594,0.011813886698870594,0.011813886698870594
2,0.009016885786702365,0.009016885786702365,0.009016885786702367
3,0.0019596797875874477,0.008462904792850237,0.003260324788640006
4,0.0017440825400036667,0.0019277941503340953,0.0017624537010367096
5,0.0008814883760769166,0.0017211518924381128,0.0015532191891658737
6,0.00040845645933232616,0.0011888031236490177,0.0008500098049065645
7,0.00024066709112713168,0.0008385198888362366,0.00047486997190216405
8,0.00022834000399840593,0.0005482975230767744,0.00031012657145004666
9,0.00014620996222188036,0.0002224507995473747,0.00019328688377745517
10,7.556268861051138e-05,0.0002142837818258247,0.00014983891121695694
11,6.470596003931563e-05,0.00019360001895956202,0.00011657322343924558
12,2.235691435528707e-05,0.0001401666490156948,7.543600965666077e-05
13,5.224883516023493e-06,0.00012622450631929812,6.205779973314926e-05
14,4.266308713483672e-06,5.5860565415746176e-05,3.6334725715343405e-05
15,3.783170178195885e-06,5.300919996643464e-05,2.3431177807345734e-05
16,5.155867740509122e-07,4.885942060973081e-05,1.3093646546009178e-05
17,7.214705722190872e-08,1.3382050796156894e-05,4.333360491906228e-06
18,3.008120346638116e-10,1.3354929495570774e-05,2.889249067865921e-06
19,9.435473991276468e-11,7.032336200629041e-07,2.380366160198735e-07
20,4.170330986079913e-18,4.0128176872799767e-07,8.712371794031232e-08
21,1.3786943288452742e-20,1.3786943288452742e-20,1.3786943288452742e-20
