number_of_features,error
1,0.25712447821933165
2,0.09754496447066958
3,0.0431939462072678
4,0.018501688577998953
5,0.007790031048535402
6,0.003192803352242402
7,0.000663314552224087
8,0.0002659712453194879
9,9.463050136472389e-05
10,3.2414699660032376e-05
11,1.6060188221672594e-05
12,6.027446646989955e-06
13,1.1452818178649029e-06
14,5.727801231650618e-08
15,3.722816305426973e-08
16,2.358484810355988e-08
17,1.3454384580009266e-08
18,7.041803559078737e-09
19,2.3659629773590754e-09
20,5.91032199784119e-10
21,1.99403504986271e-20
22,1.99403504986271e-20
23,1.99403504986271e-20
24,1.99403504986271e-20
25,1.99403504986271e-20
26,1.99403504986271e-20
27,1.99403504986271e-20
28,1.99403504986271e-20
29,1.99403504986271e-20
30,1.99403504986271e-20
