number_of_features,error
1,0.011813886698870594
2,0.0033288724293837465
3,0.0019596797875874477
4,0.0010356259630160299
5,0.0005286542611848264
6,0.0003401806494834744
7,0.00024066709112713168
8,0.00015277183301155552
9,8.25789734389321e-05
10,3.565675313291061e-05
11,1.5385372147926834e-05
12,9.699272098436916e-06
13,5.086110113982163e-06
14,2.48347945077117e-06
15,8.384727565202722e-07
16,2.825122662799603e-07
17,7.214705722190872e-08
18,3.008120346638116e-10
19,9.435473991276468e-11
20,4.170330986079913e-18
21,1.3786943288452742e-20
22,1.3786943288452742e-20
23,1.3786943288452742e-20
24,1.3786943288452742e-20
25,1.3786943288452742e-20
26,1.3786943288452742e-20
